Date,Time,m203171,m203172,m203173,m203174,m203175,m203176,m203177,m203178,m203179,m203180,m203181,m203182,m203183,m203184,m203185,m203186,m203187,m203188,m203189,m203190,m203191,m203192,m203193,m203194,m203195,m203196,m203197
30.1.2015,03:10:00,94.84,-1.91,2.80,5.65,0.10,0.17,932.41,2.03,1.59,1.84,2.15,3.62,47.06,53.72,0.25,0.21,-0.22,1.86,0.77,315.36,316.57,0.09,0.15,0.00,-0.53,-0.47,141.98
30.1.2015,03:10:30,94.89,-1.93,2.85,5.65,0.10,0.11,932.34,2.03,1.59,1.84,2.15,3.62,47.06,53.72,0.25,0.21,-0.22,1.98,0.75,315.36,316.57,0.09,0.15,0.00,-0.53,-0.47,142.10
30.1.2015,03:20:00,94.89,-1.93,2.53,6.05,0.20,0.11,932.34,2.03,1.59,1.84,2.15,3.62,47.06,53.67,0.24,0.21,-0.22,1.98,0.75,315.75,316.81,0.08,0.14,0.00,-0.53,-0.49,145.15
30.1.2015,03:20:30,94.91,-1.94,2.50,6.05,0.20,0.15,932.23,2.03,1.59,1.84,2.15,3.62,47.06,53.67,0.24,0.21,-0.22,2.03,0.82,315.75,316.81,0.08,0.14,0.00,-0.53,-0.49,143.98
30.1.2015,03:30:00,94.91,-1.94,2.63,7.08,0.23,0.15,932.23,2.03,1.59,1.84,2.15,3.62,47.05,53.73,0.23,0.20,-0.22,2.03,0.82,315.48,316.44,0.08,0.14,0.00,-0.52,-0.47,140.80
30.1.2015,03:40:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30.8.2015,03:20:00,94.89,-1.93,2.53,6.05,0.20,0.11,932.34,2.03,1.59,1.84,2.15,3.62,47.06,53.67,0.24,0.21,-0.22,1.98,0.75,315.75,316.81,0.08,0.14,0.00,-0.53,-0.49,145.15

